 CITS1021-1 + CITS1023-2 + CITS2023-2 + IMED2223-2 + SCIE2124-1 + SPAN1021-1 + STAT1024-1 + STAT2023-2 	 2 (2.8%) 
 ANTH1221-1 + CITS1023-2 + CITS2023-2 + CITS3025-1 + ECON1124-1 + PSYC2225-1 + PSYC2228-2 + STAT1023-2 	 1 (2.0%) 
 ACCT2114-1 + ACCT2221-1 + ACCT3323-2 + ACCT3323-2 + CITS1021-1 + CITS2021-2 + CITS2023-2 + MKTG1225-1 + STAT2021-1 	 1 (2.0%) 
 CITS2021-1 + CITS2023-2 + CITS3220-2 + CITS3223-2 + CITS3025-1 + MKTG3327-1 	 1 (2.0%) 
 CITS1021-1 + CITS2023-2 + CITS3223-2 + CITS3021-1 + CITS3025-1 + STAT2021-1 + STAT3260-2 	 1 (2.0%) 
 CITS1021-2 + CITS2023-2 + ENSC3216-2 + ENSC3221-1 + MATH1214-1 + MATH3225-2 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2023-2 + ECON1111-1 + MUSC1250-1 + MUSC1255-2 + PHYS1221-2 	 1 (2.0%) 
 CITS2224-1 + CITS2211-2 + CITS2023-2 + CITS3221-2 + CITS3220-2 + EDUC1124-1 + PSYC1121-1 + STAT1024-1 	 1 (2.0%) 
 BIOL1134-1 + CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2023-2 + SCIE1123-2 + SSEH1125-1 + STAT1023-2 	 1 (2.0%) 
 CITS2023-2 + CITS3220-2 + CITS3223-2 + STAT2023-2 	 1 (2.0%) 
 CITS1021-1 + CITS2023-2 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS2223-2 + CITS2211-2 + CITS2021-1 + CITS2023-2 + ECON1123-2 + PUBH1121-1 	 1 (2.0%) 
 CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3225-1 + CITS3223-2 + CITS3021-1 + CITS3025-1 + MUSC1255-2 	 1 (2.0%) 
 CITS2021-1 + CITS2023-2 + CITS3220-2 + CITS3223-2 + CITS3025-1 + LAWS3328-1 + STAT2021-1 + STAT3260-2 	 1 (2.0%) 
 CITS2023-2 + MATH1721-1 	 1 (2.0%) 
 CITS2223-2 + CITS2224-1 + CITS2211-2 + CITS2021-1 + CITS2023-2 + CITS3025-1 + GEOG2221-2 + STAT2021-1 	 1 (2.0%) 
 CITS2023-2 + CITS3224-1 + CITS3223-2 + CITS3021-1 + CITS3025-1 + MUSC1255-2 	 1 (2.0%) 
 CITS2023-2 + CITS3220-2 + CITS3021-1 + FINA2220-1 + FINA2227-1 + FINA2223-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS2223-2 + CITS2224-1 + CITS2021-2 + CITS2023-2 + CITS3021-1 + FINA1129-2 + MUSC1250-1 + STAT1524-1 	 1 (2.0%) 
 CITS2023-2 + CITS3021-1 + CITS3025-1 + ECON1121-2 + STAT2023-2 + STAT3260-2 	 1 (2.0%) 
 ACCT1121-1 + CITS1221-2 + CITS1021-1 + CITS1023-2 + CITS2023-2 + FINA1221-1 + FINA2223-2 + STAT1024-1 	 1 (2.0%) 
 CITS1021-2 + CITS2223-2 + CITS2224-1 + CITS2023-2 + ECON1121-1 + PSYC1121-1 + SCOM1121-1 	 1 (2.0%) 
 CITS2224-1 + CITS2023-2 + CITS3221-2 + CITS3220-2 + CITS3025-1 + PHIL1224-1 + STAT1024-1 + STAT2023-2 	 1 (2.0%) 
 CITS2021-1 + CITS2023-2 + CITS3220-2 + FINA2227-1 + FINA2229-1 + FINA2223-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 ACCT2113-2 + ANHB1121-1 + CITS1021-1 + CITS1023-2 + CITS2023-2 + STAT1024-1 + STAT2023-2 	 1 (2.0%) 
 CITS1221-2 + CITS2223-2 + CITS2023-2 + CITS3021-1 + CITS3025-1 + MATH1721-1 + STAT1024-1 + STAT2023-2 	 1 (2.0%) 
 CITS2223-2 + CITS2021-1 + CITS2023-2 + CITS3021-1 	 1 (2.0%) 
